system,n_orbit_options,partition,L_orbit,top_a,top_e,top_i,top_o,top_O,top_M0,ranking,incl_group
6,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",6.054031158000001e-05,3.875862711724166,0.051219691429404926,0.734353944,2.819153608910465,-3.100555767,-1.055582706,1,low
7,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.012438364647039997,1.2020989799518456,0.058011259,0.4293235491649583,-5.453617057,-0.488997981,0.5638220600817756,0,low
7,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.004410023,4.001215827272863,0.097935758,0.7422572243952569,2.730527449405041,3.088267868855721,-0.834355077,0,low
7,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000113179,1.084553687106821,0.072111026,2.2768941721448863,3.919989466931497,2.893043458865832,-4.81663793,0,low
7,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.002418799,1.4920169939822088,0.097474276,1.1692998144988476,4.447770438050894,0.4292610174758792,-3.534446586,1,low
7,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.004344671,1.1799963690390531,0.09328473,2.330480624040436,4.308688719875087,-0.868313242,-4.767174654,1,low
7,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",5.35373920000001e-07,4.001215827272863,0.097935758,0.7422572243952569,2.730527449405041,3.088267868855721,-0.834355077,1,low
8,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000273951,1.7285836200817937,0.035136418,0.6982446750822525,-0.982471082,2.7817945178558725,-1.682410447,0,low
8,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.001135989,2.0983384808531915,0.007142857,0.7028069288341395,1.1667633117699452,2.7410963499285566,-4.175154704,0,low
8,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000232896,0.8613964138710045,0.090756458,0.7099736483197816,1.6421450830441784,-0.350316771,-3.518566747,0,low
8,1,"[[0, 2, 7], [1, 6, 8], [3, 4, 5]]",0.000291409,1.3758778766679156,0.099380799,1.7448325108755738,1.6343224890586132,-0.147209012,-1.011263699,1,low
8,1,"[[0, 2, 7], [1, 6, 8], [3, 4, 5]]",0.006310186,1.2970936610657224,0.07566373,1.0738335338132206,-1.262144667,-1.457538491,-2.0130105,1,low
8,1,"[[0, 2, 7], [1, 6, 8], [3, 4, 5]]",7.410024000000005e-07,2.0983384808531915,0.007142857,0.7028069288341395,1.1667633117699452,2.7410963499285566,-4.175154704,1,low
9,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.022392317421240003,5.358196982239578,0.075194909,0.37529985315825104,-4.237701519,-0.463454124,1.6615994872847852,0,low
9,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000104302,0.8143854644632387,0.033333333333333326,0.3532672289624439,-1.268837155,1.7672791867732605,-5.778834243,0,low
9,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.016973780477094004,1.2970936610657224,0.02,0.3715979954388137,-0.577520977,-0.909030181,-3.657433553,0,low
9,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.023392142,5.358196982239578,0.075194909,0.37529985315825104,-4.237701519,-0.463454124,1.6615994872847852,1,low
9,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",3.757404000000002e-07,1.3758778766679156,0.091624569,0.9356607668286212,-3.872872317,-0.338280005,-0.795426403,1,low
9,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.028791493,1.2403601007637135,0.080039053,2.166313941344914,-4.281079606,1.2963426494506292,0.087804916,1,low
10,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.056840938,3.938421957405617,0.065367065,0.452237356,2.88947664,0.499356985,-1.175960561,0,low
10,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000176143,1.599195093139834,0.029449252,0.4392409394819896,-2.483057233,0.885864934,1.17858067,0,low
10,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000148279,0.5374937878348663,0.024999999999999994,0.4876856906465453,2.51467278,-2.185315279,-11.11400401,0,low
10,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.067080672,3.938421957405617,0.065367065,0.452237356,2.88947664,0.499356985,-1.175960561,1,low
10,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.000358754,1.3943285269546752,0.099380799,1.3750601147074364,1.617818622,-0.413455401,-0.972753517,1,low
10,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",7.923600000000006e-10,6.020223058252241,0.097057105,1.5904267866784032,-4.660365509,-1.837335975,2.750413866,1,low
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.025299612,4.532230062642511,0.057469799,1.0466299808850217,5.458972225721308,0.8402950832413292,-3.138196605,3,med
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",8.97724067999999e-05,2.661188193,0.069751746,1.0659847740756978,-3.476981246,0.9131548349783465,0.12552125055695385,3,med
1,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.018617925747959993,2.4685566630372247,0.097594654,0.9790228209051541,-0.41713054,0.8447982260273225,-2.701963335,3,med
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.047705551,4.532230062642511,0.057469799,1.0466299808850217,5.458972225721308,0.8402950832413292,-3.138196605,1,med
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.001889874,2.6077548188959434,0.061677238,1.0285359666458362,0.79713038,-2.192788252,-0.952428259,1,med
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.016025972,2.5549815831082006,0.097594654,1.7966081676734038,1.7846155236393626,1.0889592964646506,0.13756902555294603,1,med
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.026071864,4.532230062642511,0.057469799,1.0466299808850217,5.458972225721308,0.8402950832413292,-3.138196605,2,med
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.000832864,2.6077548188959434,0.097594654,1.2286491605689214,0.9287323028275047,-1.759056296,-1.652839019,2,med
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.011318119666127998,2.520177748454071,0.097594654,1.3294059341021238,-1.748775572,1.0796180055866265,-1.692061542,2,med
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.076847521,4.532230062642511,0.057469799,1.0466299808850217,5.458972225721308,0.8402950832413292,-3.138196605,0,med
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.003005123,2.6791419410818706,0.097608594,1.0289480316208852,0.8141029457710405,-2.160999299,-0.960099518,0,med
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.020294107438200006,2.6791419410818706,0.097594654,1.944211922050239,4.026034519104526,1.2304568483914635,-1.62322145,0,med
2,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",7.203253892400002e-05,1.3140168343783878,0.052068331172711035,1.088722889458863,4.240458481053484,2.8368030374476856,-4.269194853,0,med
2,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.0004105,0.9581516246483942,0.024999999999999994,0.8992070541566884,0.42566854515661445,-0.459239171,-6.49123557,0,med
2,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.035409317356703995,2.825213310370763,0.089285714,1.1507898532514678,-3.216975483,-0.283890701,0.4573741923452076,0,med
2,1,"[[0, 1, 5], [2, 3, 4], [6, 7, 8]]",8.639999020800005e-05,1.3488559442196257,0.095581392,1.1829577879818847,4.515913577764918,2.7297837191814422,-4.408855078,1,med
2,2,"[[0, 1, 5], [2, 3, 4], [6, 7, 8]]",0.000106995,0.8143854644632387,0.092436164,1.270974231032733,0.3640490250494599,3.0051802939066974,-2.427978488,1,med
