system,n_orbit_options,xyzs,planet,a,e,i,o,O,M0,incl_group
5,,"[[2.738262542499938, 0.42375698832529834, 1.2200353995484106], [1.9838294806183443, 1.9939442040475182, 0.9158931088472827], [0.4787031102087663, 2.840480520956956, 0.2745584789292111]]",3,2.914507328905027,0.037791853,0.4201720372029051,4.284702659280746,4.758252472844026,3.715949377,low
6,,"[[0.596440460385902, 0.8531736177884064, 0.7487384822711196], [-1.221926196365824, -0.16017014375032745, -0.1498382210773941], [0.8881068555357934, -0.711699398462982, -0.6043026442096068]]",1,1.2836592416729755,0.026988573,0.7097025078277559,2.9540540525586403,6.279290168863669,4.476168756,low
6,,"[[0.49448595537259143, -2.7787817961939867, -2.3852986634220126], [2.009756425391596, -2.2872068944387336, -1.968027497347067], [3.1391287767200873, -1.370805420533328, -1.1544119044686207]]",2,3.684436147,0.038770282,0.7097025078277559,0.2734505684973674,6.279290168863669,4.657838209368332,low
6,,"[[-0.9117211764246166, -0.24322859407958985, -0.22822559787518967], [0.38325517388721797, 0.6307375952640114, 0.5645502500940391], [-0.24097835883470167, -0.6396410823428399, -0.5444249168745771]]",3,0.9153047071144654,0.087576006,0.7097025078277559,5.422202639695211,6.279290168863669,4.556076100384724,low
7,,"[[0.5946322029405768, 0.8570512317420317, 0.7487384822711196], [-1.2191194654910642, -0.14211690183831302, -0.1498382210773941], [0.8898824934660092, -0.7313142521420145, -0.6043026442096068]]",1,1.681376651997423,0.014531494,0.6843803511368003,4.989829512730913,2.8156105656663235,4.806547738224595,low
7,,"[[0.48004786942965233, -2.763132474768722, -2.3852986634220126], [2.0199413346451003, -2.2966841808055807, -1.968027497347067], [3.145610152167776, -1.3782498678585526, -1.1544119044686207]]",2,2.0901494106446408,0.00497867,0.6843803511368003,4.452666924,2.8156105656663235,5.033432266822405,low
7,,"[[-0.8789915697225813, -0.2666764103448163, -0.22822559787518967], [0.3646725219758046, 0.6418699111717234, 0.5645502500940391], [-0.23406069190042472, -0.620548912519549, -0.5444249168745771]]",3,0.8642019220608756,0.071346918,0.6843803511368003,4.7329851033939025,2.8156105656663235,2.805809765723482,low
8,,"[[1.6767286613912735, -0.06119410967401672, -0.35669252335387475], [0.02268934329129543, 1.3070633213625795, -1.0173176955696], [-1.6441448958214855, 0.39972205852813025, 0.14871483357396223]]",1,5.528743932008774,0.03401642,0.3885607692414195,4.178127141078821,1.9360212323861692,3.558687197439688,low
8,,"[[2.009980126306899, -0.5998196779259162, -0.0683822177459205], [1.3492380641634605, 1.0441163771973572, -1.1712164888750958], [-0.616339246838896, 1.6844153092450829, -1.1036100148368497]]",2,0.8037866042535986,0.04889617,0.3885607692414195,3.8902462079668743,1.9360212323861692,1.3949149431531784,low
8,,"[[-0.45257115018034993, -0.5707569561821132, 0.5619947281029178], [-0.22860168836750414, 0.6187606280447658, -0.4442055580828567], [0.6461375054310775, -0.5632282946982836, 0.2582807039880755]]",3,1.2880760943278813,0.011159867,0.3885607692414195,3.3094813772030705,1.9360212323861692,2.1499641654797355,low
9,,"[[-5.142183446751987, -1.1271877062782982, 2.1378629140150256], [-4.731790055140566, -2.315803464246552, 2.14419054625997], [-4.024360721764018, -3.4048761143770636, 2.0354996213857772]]",1,0.7178286026140865,0.036309655,0.3564047899281686,6.142377775210468,5.041612717823303,1.5308260018438913,low
9,,"[[0.3716849969964778, 0.6788271377480579, -0.23721751231363886], [0.37500053327862826, -0.7161323349569131, -0.048760266252897685], [-0.7809661108451788, -0.11328310444269812, 0.3104592565307895]]",2,1.6465589232222722,0.035497055,0.3564047899281686,0.8014189448918305,5.041612717823303,4.127751587634154,low
